post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
65617244.people-moves-25072022,2022-07-25T13:32:16.687Z,true,2022-07-25T13:32:16.823Z,2022-07-25T13:32:16.823Z,newsletter,only_paid,People Moves: 25/07/2022,AXA IM Alts welcomes Paul Jeffries as Senior Sales Manager within its UK Client Group,
65187326.people-moves-22072022,2022-07-22T11:34:41.482Z,true,2022-07-22T11:34:42.740Z,2022-07-22T11:34:42.740Z,newsletter,only_paid,People Moves: 22/07/2022,The Crown Estate appoints Anne Kavanagh and Clare Shine to its Board,
65026032.people-moves-21072022,2022-07-21T09:32:47.355Z,true,2022-07-21T09:32:47.491Z,2022-07-21T09:32:47.491Z,newsletter,only_paid,People Moves: 21/07/2022,Deutsche Bank promotes Jörg Eigendorf to Chief Sustainability Officer,
64733723.people-moves-19072022,2022-07-19T09:31:13.470Z,true,2022-07-19T09:31:13.600Z,2022-07-19T09:31:13.600Z,newsletter,only_paid,People Moves: 19/07/2022,UKAA Investor Lender Forum appoints Apache Capital’s Ashley Perry as Vice-Chair,
64585500.people-moves-18072022,2022-07-18T08:41:29.209Z,true,2022-07-18T08:41:29.321Z,2022-07-18T08:41:29.321Z,newsletter,only_paid,People Moves: 18/07/2022,Grosvenor recruits Ashleigh Simpson as SVP from MetLife Investment Management,
64170338.people-moves-15072022,2022-07-15T10:12:00.353Z,true,2022-07-15T10:12:00.680Z,2022-07-15T10:12:00.680Z,newsletter,only_paid,People Moves: 15/07/2022,AXA Investment Managers appoints two new ESG hires in its global RI team,
64013261.people-moves-14072022,2022-07-14T09:58:33.252Z,true,2022-07-14T09:58:33.389Z,2022-07-14T09:58:33.389Z,newsletter,only_paid,People Moves: 14/07/2022,Henley recruits Rodrigo Mansur from Tishman Speyer as US Investment Director,
63860022.people-moves-13072022,2022-07-13T10:31:55.202Z,true,2022-07-13T10:31:55.560Z,2022-07-13T10:31:55.560Z,newsletter,only_paid,People Moves: 13/07/2022,LBO France appoints Stanislas de Kertanguy as Head of ESG,
63718725.people-moves-12072022,2022-07-12T13:00:45.892Z,true,2022-07-12T13:00:45.990Z,2022-07-12T13:00:45.990Z,newsletter,only_paid,People Moves: 12/07/2022,Seven new hires bolster Knight Frank’s Project & Building Consultancy team,
63565376.people-moves-11072022,2022-07-11T14:32:38.007Z,true,2022-07-11T14:32:38.131Z,2022-07-11T14:32:38.131Z,newsletter,only_paid,People Moves: 11/07/2022,Turner & Townsend appoints new Real Estate leaders in Gulf region,
63103853.people-moves-08072022,2022-07-08T09:46:52.164Z,true,2022-07-08T09:46:52.744Z,2022-07-08T09:46:52.744Z,newsletter,only_paid,People Moves: 08/07/2022,Immobel Capital Partners hires Melinda Knatchbull from Schroders Real Estate as CFO,
62932598.people-moves-07072022,2022-07-07T07:10:18.398Z,true,2022-07-07T07:10:18.518Z,2022-07-07T07:10:18.518Z,newsletter,only_paid,People Moves: 07/07/2022,Knight Frank appoints Colliers' Jonathan Wright as Senior Director in Hong Kong,
62818810.people-moves-06072022,2022-07-06T14:08:28.060Z,true,2022-07-06T14:08:28.168Z,2022-07-06T14:08:28.168Z,newsletter,only_paid,People Moves: 06/07/2022,Matter Real Estate and GCM Grosvenor confirm £140m equity refinancing of Placefirst,
62669823.people-moves-05072022,2022-07-05T14:49:29.857Z,true,2022-07-05T14:49:30.000Z,2022-07-05T14:49:30.000Z,newsletter,only_paid,People Moves: 05/07/2022,Downing LLP appoints R&M's Roger Lewis as Head of ESG,
62493139.people-moves-04072022,2022-07-04T12:11:44.984Z,true,2022-07-04T12:11:45.149Z,2022-07-04T12:11:45.149Z,newsletter,only_paid,People Moves: 04/07/2022,Credit Suisse recruits from UBS for Sustainability Risk role in Zurich,
62038289.people-moves-01072022,2022-07-01T11:38:48.460Z,true,2022-07-01T11:38:48.549Z,2022-07-01T11:38:48.549Z,newsletter,only_paid,People Moves: 01/07/2022,Deutsche Bank appoints Markus Müller as ESG Chief Investment Officer,
61908515.people-moves-30062022,2022-06-30T16:28:58.438Z,true,2022-06-30T16:28:58.646Z,2022-06-30T16:28:58.646Z,newsletter,only_paid,People Moves: 30/06/2022,EY recruits Matt Bell as latest hire across sustainability,
61702555.people-moves-29062022,2022-06-29T11:00:26.256Z,true,2022-06-29T11:00:26.374Z,2022-06-29T11:00:26.374Z,newsletter,only_paid,People Moves: 29/06/2022,"ICYMI - JLL MENA appoints Real Estate veteran David Duke as Head of Residential, KSA",
61516638.people-moves-28062022,2022-06-28T10:54:26.977Z,true,2022-06-28T10:54:27.111Z,2022-06-28T10:54:27.111Z,newsletter,only_paid,People Moves: 28/06/2022,"JLL MENA appoints Real Estate veteran David Duke as Head of Residential, KSA",
61332080.people-moves-27062022,2022-06-27T12:27:43.862Z,true,2022-06-27T12:27:43.935Z,2022-06-27T12:27:43.935Z,newsletter,only_paid,People Moves: 27/06/2022,ICYMI - CBRE IM appoints Steven Storrs as Head of Portfolio Management,
60894969.people-moves-24062022,2022-06-24T09:45:36.250Z,true,2022-06-24T09:45:36.322Z,2022-06-24T09:45:36.322Z,newsletter,only_paid,People Moves: 24/06/2022,Savills adds ESG expert in North America as two new recruits join Barings,
60724887.people-moves-23062022,2022-06-23T07:36:45.527Z,true,2022-06-23T07:36:46.134Z,2022-06-23T07:36:46.134Z,newsletter,only_paid,People Moves: 23/06/2022,RenewableUK hires Jane Cooper from Ørsted and Schroders appoints Chris Santer,
